7.37	2.036394796	-6.956302501
6.98	3.543417579	-6.786302501
7.42	2.081839804	-6.226302501
7.26	2.333421146	-6.246302501
6.92	3.645763143	-6.036302501
7.32	2.381969527	-5.526302501
7.28	2.540514412	-5.406302501
7.31	2.591910558	-5.396302501
7.65	1.633462957	-5.396302501
7.66	1.672971685	-5.286302501
7.67	1.433835613	-5.276302501
7.67	1.650271581	-5.186302501
7.67	1.82525639	-5.186302501
7.68	1.462790858	-5.146302501
7.65	1.891560471	-5.086302501
7.75	1.595391612	-4.796302501
6.7	5.620428706	-6.116302501
6.69	5.350600358	-6.026302501
6.62	5.480292354	-6.016302501
6.71	5.179050062	-5.866302501
6.86	4.726525186	-5.516302501
6.82	4.51961761	-5.426302501
7.02	3.808327551	-5.406302501
6.86	4.200202293	-5.356302501
7.02	3.581227057	-5.286302501
7.26	2.626163484	-5.136302501
7.27	2.52193636	-5.116302501
7.16	2.976805896	-5.106302501
7.28	2.490261177	-5.096302501
7.07	3.102290211	-5.076302501
7.24	2.504687783	-4.976302501
7.22	2.68318276	-4.966302501
6.91	4.668404613	-6.156302501
6.91	3.955241082	-5.846302501
6.8	4.899564507	-5.656302501
6.85	4.488622402	-5.586302501
6.85	4.798970467	-5.486302501
6.86	4.307978688	-5.446302501
6.73	5.161210917	-5.196302501
6.73	5.109451671	-5.196302501
6.76	4.81046511	-5.166302501
