6.7	33.57127809	5.481064322	-8.1
6.8	33.87146251	5.147841054	-8.1
6.8	33.8806964	5.23979659	-8.19
6.8	33.68861642	5.239283873	-8.2
6.8	33.88720024	4.73697105	-7.63
6.8	34.08578966	4.95838833	-7.7
6.7	33.74522714	5.092301903	-8.04
6.7	33.66324045	5.493364698	-8.11
6.8	33.36699689	4.633873144	-7.47
6.8	33.39874065	4.647427408	-7.48
6.9	33.47670666	4.563964936	-7.65
6.9	33.27493103	4.76223248	-7.24
6.8	33.35216326	4.502430111	-7.25
6.9	33.47370422	5.062722424	-7.64
7	33.45604842	3.926484385	-7.59
7	33.37581376	4.027495659	-7.38
7	33.55393888	4.225214063	-7.44
6.6	33.47070237	6.199611515	-7.5
6.6	33.45304598	5.196583433	-7.59
6.8	32.57486035	4.806397454	-7
6.9	32.65503397	4.962066017	-6.88
6.5	33.29010385	7.035392726	-7.92
6.5	33.63416962	7.341073912	-7.82
6.6	33.5524767	6.600572069	-7.51
6.5	32.99295947	6.710366431	-7.65
6.5	32.99572011	6.810879277	-7.66
6.5	33.21123155	6.913004414	-7.25
6.6	33.42949144	6.898203856	-7.37
6.5	33.51669069	6.812491569	-7.42
6.5	33.62042568	6.310556057	-7.47
6.5	33.21401199	7.314678639	-7.72
6.6	33.4515838	6.599760627	-7.88
